@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2020/05/04 08:59:04:007',1,0,0,0,1
2,'2020/05/04 08:59:04:034',1,0,0,0,1
3,'2020/05/04 08:59:04:034',1,0,0,0,1
4,'2020/05/04 08:59:04:034',1,0,0,0,1
5,'2020/05/04 08:59:04:034',1,0,0,0,1
6,'2020/05/04 08:59:04:034',1,0,0,0,1
7,'2020/05/04 08:59:04:034',1,0,0,0,1
8,'2020/05/04 08:59:04:035',1,0,0,0,1
9,'2020/05/04 08:59:04:035',1,0,0,0,1
10,'2020/05/04 08:59:04:040',1,0,0,0,1
11,'2020/05/04 08:59:04:041',1,0,0,0,1
12,'2020/05/04 08:59:04:041',1,0,0,0,1
13,'2020/05/04 08:59:04:051',1,0,0,0,1
14,'2020/05/04 08:59:04:051',1,0,0,0,1
15,'2020/05/04 08:59:04:051',1,0,0,0,1
16,'2020/05/04 08:59:04:063',1,0,0,0,1
17,'2020/05/04 08:59:04:064',1,0,0,0,1
18,'2020/05/04 08:59:04:064',1,0,0,0,1
19,'2020/05/04 08:59:04:075',1,0,0,0,1
20,'2020/05/04 08:59:04:075',1,0,0,0,1
21,'2020/05/04 08:59:04:075',1,0,0,0,1
22,'2020/05/04 08:59:04:086',1,0,0,0,1
23,'2020/05/04 08:59:04:086',1,0,0,0,1
24,'2020/05/04 08:59:04:086',1,0,0,0,1
25,'2020/05/04 08:59:04:098',1,0,0,0,1
26,'2020/05/04 08:59:04:099',1,0,0,0,1
27,'2020/05/04 08:59:04:099',1,0,0,0,1
28,'2020/05/04 08:59:04:109',1,0,0,0,1
29,'2020/05/04 08:59:04:110',1,0,0,0,1
30,'2020/05/04 08:59:04:110',1,0,0,0,1
31,'2020/05/04 08:59:04:121',1,0,0,0,1
32,'2020/05/04 08:59:04:122',1,0,0,0,1
33,'2020/05/04 08:59:04:122',1,0,0,0,1
34,'2020/05/04 08:59:04:133',1,0,0,0,1
35,'2020/05/04 08:59:04:134',1,0,0,0,1
36,'2020/05/04 08:59:04:134',1,0,0,0,1
37,'2020/05/04 08:59:04:145',1,0,0,0,1
38,'2020/05/04 08:59:04:146',1,0,0,0,1
39,'2020/05/04 08:59:04:146',1,0,0,0,1
40,'2020/05/04 08:59:04:156',1,0,0,0,1
41,'2020/05/04 08:59:04:157',1,0,0,0,1
42,'2020/05/04 08:59:04:157',1,0,0,0,1
43,'2020/05/04 08:59:04:168',1,0,0,0,1
44,'2020/05/04 08:59:04:169',1,0,0,0,1
45,'2020/05/04 08:59:04:169',1,0,0,0,1
46,'2020/05/04 08:59:04:180',1,0,0,0,1
47,'2020/05/04 08:59:04:181',1,0,0,0,1
48,'2020/05/04 08:59:04:181',1,0,0,0,1
49,'2020/05/04 08:59:04:192',1,0,0,0,1
50,'2020/05/04 08:59:04:193',1,0,0,0,1
51,'2020/05/04 08:59:04:193',1,0,0,0,1
52,'2020/05/04 08:59:04:203',1,0,0,0,1
53,'2020/05/04 08:59:04:203',1,0,0,0,1
54,'2020/05/04 08:59:04:203',1,0,0,0,1
55,'2020/05/04 08:59:04:217',1,0,0,0,1
56,'2020/05/04 08:59:04:217',1,0,0,0,1
57,'2020/05/04 08:59:04:217',1,0,0,0,1
58,'2020/05/04 08:59:04:227',1,0,0,0,1
59,'2020/05/04 08:59:04:228',1,0,0,0,1
60,'2020/05/04 08:59:04:228',1,0,0,0,1
61,'2020/05/04 08:59:04:237',1,0,0,0,1
62,'2020/05/04 08:59:04:237',1,0,0,0,1
63,'2020/05/04 08:59:04:237',1,0,0,0,1
64,'2020/05/04 08:59:04:248',1,0,0,0,1
65,'2020/05/04 08:59:04:249',1,0,0,0,1
66,'2020/05/04 08:59:04:249',1,0,0,0,1
67,'2020/05/04 08:59:04:260',1,0,0,0,1
68,'2020/05/04 08:59:04:261',1,0,0,0,1
69,'2020/05/04 08:59:04:261',1,0,0,0,1
70,'2020/05/04 08:59:04:272',1,0,0,0,1
71,'2020/05/04 08:59:04:273',1,0,0,0,1
72,'2020/05/04 08:59:04:273',1,0,0,0,1
73,'2020/05/04 08:59:04:285',1,0,0,0,1
74,'2020/05/04 08:59:04:286',1,0,0,0,1
75,'2020/05/04 08:59:04:286',1,0,0,0,1
76,'2020/05/04 08:59:04:295',1,0,0,0,1
77,'2020/05/04 08:59:04:296',1,0,0,0,1
78,'2020/05/04 08:59:04:296',1,0,0,0,1
79,'2020/05/04 08:59:04:309',1,0,0,0,1
80,'2020/05/04 08:59:04:309',1,0,0,0,1
81,'2020/05/04 08:59:04:309',1,0,0,0,1
82,'2020/05/04 08:59:04:319',1,0,0,0,1
83,'2020/05/04 08:59:04:319',1,0,0,0,1
84,'2020/05/04 08:59:04:319',1,0,0,0,1
85,'2020/05/04 08:59:04:331',1,0,0,0,1
