@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2020/05/04 09:22:57:267',1,105.311203,3.375248,107.969116,1,1,0.361113,0.971249
2,'2020/05/04 09:22:57:294',1,105.539703,3.375248,107.969116,1,1,0.361113,0.971249
3,'2020/05/04 09:22:57:294',1,105.539703,3.375248,108.94976,1,1,0.361113,0.971249
4,'2020/05/04 09:22:57:295',1,105.539703,3.503722,108.94976,1,1,0.361113,0.971249
5,'2020/05/04 09:22:57:295',1,105.662598,3.503722,108.94976,1,1,0.361113,0.971249
6,'2020/05/04 09:22:57:295',1,105.662598,3.503722,109.24987,1,1,0.361113,0.971249
7,'2020/05/04 09:22:57:295',1,105.662598,3.629585,109.24987,1,1,0.361113,0.971249
8,'2020/05/04 09:22:57:295',1,105.875153,3.629585,109.24987,1,1,0.361113,0.971249
9,'2020/05/04 09:22:57:295',1,105.875153,3.629585,108.919212,1,1,0.361113,0.971249
10,'2020/05/04 09:22:57:295',1,105.875153,3.629585,108.919212,1,1,0.361113,0.971249
11,'2020/05/04 09:22:57:295',1,105.875153,3.629585,108.919212,1,1,0.361113,0.971249
12,'2020/05/04 09:22:57:298',1,105.875153,3.629585,108.790527,1,1,0.361113,0.971249
13,'2020/05/04 09:22:57:298',1,105.875153,3.627742,108.790527,1,1,0.361113,0.971249
14,'2020/05/04 09:22:57:298',1,105.992081,3.627742,108.790527,1,1,0.361113,0.971249
15,'2020/05/04 09:22:57:316',1,105.992081,3.627742,106.47287,1,1,0.361113,0.971249
16,'2020/05/04 09:22:57:316',1,105.992081,3.624652,106.47287,1,1,0.361113,0.971249
17,'2020/05/04 09:22:57:317',1,106.098076,3.624652,106.47287,1,1,0.361113,0.971249
18,'2020/05/04 09:22:57:325',1,106.098076,3.624652,100.551697,1,1,0.361113,0.971249
19,'2020/05/04 09:22:57:325',1,106.098076,3.540906,100.551697,1,1,0.361113,0.971249
